"year","site","box","species","fki","hd_1.45","hatching_first_recorded","suc"
2014,"FOF",1,"bluti",124,"136",136,10
2014,"FOF",2,"bluti",134,"146",146,7
2014,"FOF",3,"bluti",120,"133",134,6
2014,"FOF",4,"bluti",134,"146",146,-999
2014,"FOF",5,"bluti",122,"136",136,6
2014,"FOF",6,"bluti",120,"128",128,5
2014,"BAD",1,"bluti",122,"136",136,11
2014,"BAD",2,"",NA,"",NA,NA
2014,"BAD",3,"bluti",123,"138",138,11
2014,"BAD",4,"",NA,"",NA,NA
2014,"BAD",5,"bluti",120,"132",132,8
2014,"BAD",6,"bluti",126,"138",138,8
2014,"LVN",1,"bluti",134,"143",144,7
2014,"LVN",2,"bluti",134,"146",146,8
2014,"LVN",3,"bluti",138,"146",146,7
2014,"LVN",4,"",NA,"",NA,NA
2014,"LVN",5,"bluti",130,"141",142,6
2014,"LVN",6,"",NA,"",NA,NA
2014,"GLF",1,"bluti",122,"133",134,9
2014,"GLF",2,"bluti",130,"143",144,10
2014,"GLF",3,"",NA,"",NA,NA
2014,"GLF",4,"bluti",120,"135",136,8
2014,"GLF",5,"bluti",134,"148",148,5
2014,"GLF",6,"bluti",124,"135",136,7
2014,"MCH",1,"",NA,"",NA,NA
2014,"MCH",2,"",NA,"",NA,NA
2014,"MCH",3,"bluti",122,"135",136,9
2014,"MCH",4,"",NA,"",NA,NA
2014,"MCH",5,"bluti",124,"137",138,11
2014,"MCH",6,"bluti",122,"134",134,9
2014,"PTH",1,"bluti",119,"132",133,11
2014,"PTH",2,"",NA,"",NA,NA
2014,"PTH",3,"bluti",123,"135",135,7
2014,"PTH",4,"bluti",131,"144",145,5
2014,"PTH",5,"",NA,"",NA,NA
2014,"PTH",6,"bluti",129,"141",141,7
2014,"STY",1,"bluti",118,"131",132,12
2014,"STY",2,"",NA,"",NA,NA
2014,"STY",3,"",NA,"",NA,NA
2014,"STY",4,"",NA,"",NA,NA
2014,"STY",5,"bluti",122,"136",136,11
2014,"STY",6,"bluti",122,"135",136,12
2014,"BIR",1,"",NA,"",NA,NA
2014,"BIR",2,"bluti",127,"140",141,8
2014,"BIR",3,"",NA,"",NA,NA
2014,"BIR",4,"bluti",127,"138",139,9
2014,"BIR",5,"",NA,"",NA,NA
2014,"BIR",6,"bluti",133,"145",145,10
2014,"DUN",1,"bluti",144,"156",156,0
2014,"DUN",2,"",NA,"",NA,NA
2014,"DUN",3,"",NA,"",NA,NA
2014,"DUN",4,"",NA,"",NA,NA
2014,"DUN",5,"",NA,"",NA,NA
2014,"DUN",6,"",NA,"",NA,NA
2014,"BLG",1,"bluti",133,"145",145,7
2014,"BLG",2,"bluti",127,"139",139,9
2014,"BLG",3,"bluti",143,"153",153,6
2014,"BLG",4,"bluti",127,"137",137,5
2014,"BLG",5,"bluti",129,"143",143,7
2014,"BLG",6,"bluti",135,"146",147,5
2014,"KCK",1,"bluti",130,"144",144,9
2014,"KCK",2,"bluti",130,"143",144,6
2014,"KCK",3,"bluti",138,"150",150,5
2014,"KCK",4,"",NA,"",NA,NA
2014,"KCK",5,"",NA,"",NA,NA
2014,"KCK",6,"bluti",134,"148",148,8
2014,"BLA",1,"",NA,"",NA,NA
2014,"BLA",2,"",NA,"",NA,NA
2014,"BLA",3,"bluti",139,"147",147,3
2014,"BLA",4,"bluti",129,"141",141,7
2014,"BLA",5,"",NA,"",NA,NA
2014,"BLA",6,"bluti",135,"148",149,6
2014,"CAL",1,"",NA,"",NA,NA
2014,"CAL",2,"bluti",NA,"",NA,NA
2014,"CAL",3,"bluti",134,"147",148,14
2014,"CAL",4,"",NA,"",NA,NA
2014,"CAL",5,"",NA,"",NA,NA
2014,"CAL",6,"",NA,"",NA,NA
2014,"DNM",1,"",NA,"",NA,NA
2014,"DNM",2,"",NA,"",NA,NA
2014,"DNM",3,"",NA,"",NA,NA
2014,"DNM",4,"",NA,"",NA,NA
2014,"DNM",5,"",NA,"",NA,NA
2014,"DNM",6,"",NA,"",NA,NA
2014,"DNC",1,"bluti",135,"147",147,11
2014,"DNC",2,"",NA,"",NA,NA
2014,"DNC",3,"",NA,"",NA,NA
2014,"DNC",4,"",NA,"",NA,NA
2014,"DNC",5,"",NA,"",NA,NA
2014,"DNC",6,"",NA,"",NA,NA
2014,"DLW",1,"",NA,"",NA,NA
2014,"DLW",2,"",NA,"",NA,NA
2014,"DLW",3,"",NA,"",NA,NA
2014,"DLW",4,"bluti",136,"150",150,10
2014,"DLW",5,"",NA,"",NA,NA
2014,"DLW",6,"",NA,"",NA,NA
2014,"CRU",1,"bluti",132,"145",146,5
2014,"CRU",2,"",NA,"",NA,NA
2014,"CRU",3,"",NA,"",NA,NA
2014,"CRU",4,"bluti",134,"146",146,6
2014,"CRU",5,"",NA,"",NA,NA
2014,"CRU",6,"",NA,"",NA,NA
