"site","year","date","tree","caterpillars","recorder"
"BAD",2014,120,"1",0,"ABP"
"BAD",2014,120,"5",0,"ABP"
"FOF",2014,120,"7",0,"ABP"
"FOF",2014,120,"6",0,"ABP"
"GLF",2014,120,"2",0,"ABP"
"GLF",2014,120,"7",0,"ABP"
"LVN",2014,120,"3",0,"ABP"
"LVN",2014,120,"5",0,"ABP"
"MCH",2014,120,"1",0,"ABP"
"MCH",2014,120,"6",0,"ABP"
"ALN",2014,121,"1",0,"ABP"
"AVI",2014,121,"4",0,"ABP"
"BIR",2014,121,"6",0,"JDS"
"BLA",2014,121,"6",0,"ABP"
"BLG",2014,121,"1",0,"JDS"
"DNC",2014,121,"3",0,"ABP"
"DNM",2014,121,"3",0,"JDS"
"NEW",2014,121,"1",0,"ABP"
"PTH",2014,121,"6",0,"JDS"
"TAI",2014,121,"7",1,"ABP"
"TOM",2014,121,"6",0,"JDS"
"BAD",2014,122,"3",0,"ABP"
"CAL",2014,122,"5",0,"JDS"
"CAR",2014,122,"2",0,"ICZ"
"CRU",2014,122,"6",0,"ICZ"
"DAV",2014,122,"5",0,"ICZ"
"DEL",2014,122,"5",0,"ABP"
"DOR",2014,122,"3",0,"JDS"
"DUN",2014,122,"1",0,"JDS"
"FOF",2014,122,"4",0,"ABP"
"FSH",2014,122,"4",0,"ABP"
"GLF",2014,122,"5",0,"ABP"
"INS",2014,122,"5",0,"JDS"
"LVN",2014,122,"4",0,"ABP"
"MCH",2014,122,"3",0,"ABP"
"ALN",2014,123,"5",0,"JDS"
"ALN",2014,123,"6",0,"ABP"
"AVI",2014,123,"3",0,"JDS"
"AVI",2014,123,"5",0,"ABP"
"BIR",2014,123,"1",0,"ABP"
"BIR",2014,123,"2",0,"ABP"
"BIR",2014,123,"5",0,"ABP"
"BLA",2014,123,"2",0,"JDS"
"BLG",2014,123,"6",0,"ICZ"
"BLG",2014,123,"2",0,"JDS"
"DNC",2014,123,"1",0,"ABP"
"DNC",2014,123,"6",0,"JDS"
"DNM",2014,123,"2",0,"ABP"
"MUN",2014,123,"2",1,"JDS"
"MUN",2014,123,"3",0,"ICZ"
"MUN",2014,123,"4",0,"ABP"
"NEW",2014,123,"5",0,"ABP"
"NEW",2014,123,"2",0,"JDS"
"NEW",2014,123,"4",0,"ICZ"
"PTH",2014,123,"3",0,"JDS"
"PTH",2014,123,"1",0,"JDS"
"TAI",2014,123,"2",0,"ICZ"
"TAI",2014,123,"5",0,"JDS"
"TOM",2014,123,"1",0,"JDS"
"TOM",2014,123,"3",0,"JDS"
"TOM",2014,123,"4",0,"ABP"
"BAD",2014,124,"1",0,"ABP"
"BAD",2014,124,"5",0,"ABP"
"BAD",2014,124,"6",0,"ABP"
"CAL",2014,124,"3",0,"JDS"
"CAL",2014,124,"6",0,"JDS"
"CAR",2014,124,"1",0,"ABP"
"CAR",2014,124,"4",0,"JDS"
"CAR",2014,124,"6",0,"ICZ"
"CRU",2014,124,"2",0,"JDS"
"CRU",2014,124,"3",0,"JDS"
"DAV",2014,124,"1",0,"JDS"
"DAV",2014,124,"4",0,"ABP"
"DAV",2014,124,"2",0,"ICZ"
"DEL",2014,124,"7Z",0,"ABP"
"DEL",2014,124,"1",0,"ICZ"
"DLW",2014,124,"2",0,"ICZ"
"DLW",2014,124,"4",0,"JDS"
"DLW",2014,124,"6",0,"JDS"
"DOR",2014,124,"4",0,"ICZ"
"DOR",2014,124,"5",0,"ABP"
"DOR",2014,124,"1",0,"JDS"
"DUN",2014,124,"4",1,"JDS"
"FOF",2014,124,"6",0,"ABP"
"FOU",2014,124,"4",0,"ABP"
"FOU",2014,124,"3",0,"JDS"
"FSH",2014,124,"1",0,"JDS"
"FSH",2014,124,"3",0,"JDS"
"FSH",2014,124,"6",0,"ABP"
"GLF",2014,124,"2",0,"ABP"
"GLF",2014,124,"6",0,"ABP"
"GLF",2014,124,"7",0,"ABP"
"INS",2014,124,"3",0,"ICZ"
"INS",2014,124,"6",1,"JDS"
"INS",2014,124,"2",0,"ABP"
"KCK",2014,124,"3",0,"JDS"
"KCK",2014,124,"4",0,"JDS"
"KCK",2014,124,"6",0,"ICZ"
"LVN",2014,124,"1",0,"ABP"
"LVN",2014,124,"3",0,"ABP"
"LVN",2014,124,"4",0,"ABP"
"MCH",2014,124,"1",0,"ABP"
"MCH",2014,124,"6",0,"ABP"
"MCH",2014,124,"4",0,"ABP"
"STY",2014,124,"2",0,"ICZ"
"STY",2014,124,"5",0,"JDS"
"STY",2014,124,"6",0,"JDS"
"ALN",2014,125,"1",0,"ICZ"
"AVI",2014,125,"4",0,"ICZ"
"BIR",2014,125,"6",0,"ICZ"
"BLA",2014,125,"6",0,"ERI"
"DNC",2014,125,"3",0,"ERI"
"DNM",2014,125,"3",0,"ICZ"
"MUN",2014,125,"4",0,"ICZ"
"NEW",2014,125,"1",0,"ICZ"
"TOM",2014,125,"6",0,"ICZ"
"BAD",2014,126,"3",0,"ABP"
"CAL",2014,126,"5",0,"ERI"
"CAR",2014,126,"2",0,"ERI"
"CRU",2014,126,"6",0,"ICZ"
"DAV",2014,126,"5",0,"ERI"
"DEL",2014,126,"5",0,"ICZ"
"DLW",2014,126,"2",0,"ICZ"
"DOR",2014,126,"3",0,"ICZ"
"DUN",2014,126,"1",0,"ICZ"
"FOF",2014,126,"4",0,"ABP"
"FOU",2014,126,"7",0,"ERI"
"FSH",2014,126,"4",0,"ICZ"
"GLF",2014,126,"5",0,"ABP"
"INS",2014,126,"5",0,"ICZ"
"KCK",2014,126,"6",0,"ERI"
"LVN",2014,126,"5",0,"ABP"
"MCH",2014,126,"3",0,"ABP"
"STY",2014,126,"2",0,"ICZ"
"ALN",2014,127,"5",0,"JDS"
"ALN",2014,127,"6",0,"JDS"
"AVI",2014,127,"5",0,"ERI"
"BIR",2014,127,"1",0,"JDS"
"BLA",2014,127,"2",0,"ERI"
"BLA",2014,127,"5",0,"JDS"
"BLG",2014,127,"6",0,"JDS"
"DNC",2014,127,"1",0,"JDS"
"DNC",2014,127,"6",0,"ERI"
"DNM",2014,127,"1",0,"ERI"
"DNM",2014,127,"2",0,"ERI"
"DNM",2014,127,"5",0,"JDS"
"MUN",2014,127,"2",0,"JDS"
"MUN",2014,127,"4",0,"ERI"
"NEW",2014,127,"5",0,"JDS"
"NEW",2014,127,"2",0,"ERI"
"NEW",2014,127,"4",0,"JDS"
"PTH",2014,127,"3",0,"ERI"
"PTH",2014,127,"1",0,"ERI"
"TAI",2014,127,"2",0,"ERI"
"TAI",2014,127,"5",0,"JDS"
"TOM",2014,127,"1",0,"JDS"
"BAD",2014,128,"1",0,"ABP"
"BAD",2014,128,"5",0,"ABP"
"BAD",2014,128,"6",0,"ABP"
"CAL",2014,128,"3",0,"JDS"
"CAL",2014,128,"6",0,"ERI"
"CAR",2014,128,"1",0,"JDS"
"CAR",2014,128,"4",0,"ERI"
"CAR",2014,128,"6",0,"ERI"
"CRU",2014,128,"2",0,"JDS"
"CRU",2014,128,"3",0,"JDS"
"DAV",2014,128,"1",0,"ERI"
"DAV",2014,128,"4",0,"JDS"
"DAV",2014,128,"2",0,"ERI"
"DEL",2014,128,"7Z",0,"ERI"
"DEL",2014,128,"1",0,"ERI"
"DLW",2014,128,"4",0,"ERI"
"DLW",2014,128,"6",0,"ERI"
"DOR",2014,128,"4",0,"JDS"
"DOR",2014,128,"5",0,"JDS"
"DOR",2014,128,"1",0,"ERI"
"DUN",2014,128,"4",0,"JDS"
