"site","box","year","fledged"
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",1,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"ALN",5,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"AVI",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",1,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",3,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",5,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BAD",6,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",2,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",4,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BIR",6,2014,1
"BLA",3,2014,1
"BLA",3,2014,1
"BLA",3,2014,1
"BLA",3,2014,0
"BLA",4,2014,1
"BLA",4,2014,1
"BLA",4,2014,1
"BLA",4,2014,1
"BLA",4,2014,1
"BLA",4,2014,1
"BLA",4,2014,1
"BLA",6,2014,1
"BLA",6,2014,0
"BLA",6,2014,1
"BLA",6,2014,1
"BLA",6,2014,0
"BLA",6,2014,0
"BLA",6,2014,1
"BLA",6,2014,1
"BLA",6,2014,0
"BLA",6,2014,0
"BLA",6,2014,0
"BLA",6,2014,1
"BLG",1,2014,1
"BLG",1,2014,1
"BLG",1,2014,1
"BLG",1,2014,1
"BLG",1,2014,0
"BLG",1,2014,1
"BLG",1,2014,1
"BLG",1,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",2,2014,1
"BLG",3,2014,1
"BLG",3,2014,0
"BLG",3,2014,1
"BLG",3,2014,1
"BLG",3,2014,1
"BLG",3,2014,1
"BLG",3,2014,1
"BLG",4,2014,1
"BLG",4,2014,0
"BLG",4,2014,1
"BLG",4,2014,1
"BLG",4,2014,1
"BLG",4,2014,0
"BLG",4,2014,1
"BLG",5,2014,1
"BLG",5,2014,1
"BLG",5,2014,1
"BLG",5,2014,1
"BLG",5,2014,1
"BLG",5,2014,1
"BLG",5,2014,1
"BLG",6,2014,1
"BLG",6,2014,1
"BLG",6,2014,1
"BLG",6,2014,1
"BLG",6,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAL",3,2014,1
"CAR",3,2014,1
"CAR",3,2014,1
"CAR",3,2014,1
"CAR",3,2014,1
"CAR",3,2014,1
"CAR",3,2014,1
"CAR",5,2014,1
"CAR",5,2014,1
"CAR",5,2014,1
"CAR",5,2014,1
"CAR",5,2014,1
"CAR",5,2014,1
"CRU",1,2014,1
"CRU",1,2014,1
"CRU",1,2014,0
"CRU",1,2014,1
"CRU",1,2014,1
"CRU",1,2014,1
"CRU",1,2014,0
"CRU",4,2014,1
"CRU",4,2014,1
"CRU",4,2014,1
"CRU",4,2014,0
"CRU",4,2014,0
"CRU",4,2014,1
"CRU",4,2014,1
"CRU",4,2014,1
"DAV",1,2014,1
"DAV",1,2014,1
