"site","year","origin.nest","destination.nest"
"FOF",2017,5,4
"FOF",2017,4,5
"SER",2017,3,8
"SER",2017,8,3
"SER",2017,7,1
"SER",2017,1,7
"BLG",2017,8,2
"BLG",2017,2,8
"BLG",2017,4,6
"BLG",2017,6,4
"EDI",2017,6,2
"EDI",2017,2,6
"EDI",2017,3,8
"EDI",2017,8,3
"PTH",2017,1,2
"PTH",2017,2,1
"PTH",2017,4,5
"PTH",2017,5,4
"FOU",2017,3,4
"FOU",2017,4,3
"FOU",2017,5,6
"FOU",2017,6,5
"RSY",2017,6,2
"RSY",2017,2,6
"RSY",2017,3,1
"RSY",2017,1,3
"STY",2017,8,4
"STY",2017,4,8
"GLF",2017,1,6
"GLF",2017,6,1
"GLF",2017,3,4
"GLF",2017,4,3
"TAI",2017,4,1
"TAI",2017,1,4
"DEL",2017,5,8
"DEL",2017,8,5
"DEL",2017,2,1
"DEL",2017,1,2
"AVN",2017,2,4
"AVN",2017,4,2
"AVN",2017,3,6
"AVN",2017,6,3
"DOR",2017,3,6
"DOR",2017,6,3
"ART",2017,4,1
"ART",2017,1,4
"ART",2017,3,5
"ART",2017,5,3
"BLA",2017,1,5
"BLA",2017,5,1
"BIR",2017,6,1
"BIR",2017,1,6
"BAD",2017,5,3
"BAD",2017,3,5
"PIT",2017,3,2
"PIT",2017,2,3
"PIT",2017,8,4
"PIT",2017,4,8
"KCK",2017,1,8
"KCK",2017,8,1
"KCZ",2017,4,5
"KCZ",2017,5,4
"DUN",2017,7,3
"DUN",2017,3,7
"DOW",2017,4,8
"DOW",2017,8,4
"DOW",2017,7,6
"DOW",2017,6,7
"ALN",2017,4,8
"ALN",2017,8,4
"DAV",2017,4,8
"DAV",2017,8,4
"MUN",2017,7,5
"MUN",2017,5,7
"MUN",2017,3,8
"MUN",2017,8,3
"INS",2017,4,3
"INS",2017,3,4
"FSH",2017,6,3
"FSH",2017,3,6
"FSH",2017,5,4
"FSH",2017,4,5
"AVI",2017,4,3
"AVI",2017,3,4
"SLS",2017,1,6
"SLS",2017,6,1
"SER",2018,5,3
"SER",2018,3,5
"SER",2018,6,1
"SER",2018,1,6
"EDI",2018,5,3
"EDI",2018,3,5
"EDI",2018,2,1
"EDI",2018,1,2
"RSY",2018,6,8
"RSY",2018,8,6
"FOF",2018,6,3
"FOF",2018,3,6
"DOW",2018,6,7
"DOW",2018,7,6
"DOW",2018,5,3
"DOW",2018,3,5
"GLF",2018,4,8
"GLF",2018,8,4
"PTH",2018,3,4
"PTH",2018,4,3
"PTH",2018,7,6
"PTH",2018,6,7
"BLG",2018,2,8
"BLG",2018,8,2
"BLG",2018,5,1
"BLG",2018,1,5
"FSH",2018,8,5
"FSH",2018,5,8
"AVI",2018,2,3
"AVI",2018,3,2
"AVN",2018,8,5
"AVN",2018,5,8
"AVN",2018,4,6
"AVN",2018,6,4
"ART",2018,4,7
"ART",2018,7,4
"ART",2018,1,3
"ART",2018,3,1
"FOU",2018,2,1
"FOU",2018,1,2
"DEL",2018,3,1
"DEL",2018,1,3
"DEL",2018,7,6
"DEL",2018,6,7
"TAI",2018,2,4
"TAI",2018,4,2
"STY",2018,1,5
"STY",2018,5,1
"STY",2018,3,6
"STY",2018,6,3
"BIR",2018,5,4
"BIR",2018,4,5
"BIR",2018,7,2
"BIR",2018,2,7
"HWP",2018,1,6
"HWP",2018,6,1
"DAV",2018,4,1
"DAV",2018,1,4
"MUN",2018,2,8
"MUN",2018,8,2
"MUN",2018,7,4
"MUN",2018,4,7
"MCH",2018,4,3
"MCH",2018,3,4
"CRU",2018,4,2
"CRU",2018,2,4
"SLS",2018,5,3
"SLS",2018,3,5
"NEW",2018,8,2
"NEW",2018,2,8
"INS",2018,2,4
"INS",2018,4,2
"SPD",2018,8,3
"SPD",2018,3,8
"SPD",2018,6,4
"SPD",2018,4,6
"KCK",2018,6,5
"KCK",2018,5,6
"PIT",2018,4,3
"PIT",2018,3,4
"PIT",2018,2,1
"PIT",2018,1,2
"BAD",2018,3,1
"BAD",2018,1,3
"KCZ",2018,8,6
"KCZ",2018,6,8
"DUN",2018,4,1
"DUN",2018,1,4
"DNM",2018,4,8
"DNM",2018,8,4
"BLG",2019,5,4
"BLG",2019,4,5
"BLG",2019,1,3
"BLG",2019,3,1
"PTH",2019,8,6
"PTH",2019,6,8
"PTH",2019,7,1
"PTH",2019,1,7
"SER",2019,1,7
"SER",2019,7,1
